주파수 (Hz)	레벨 (dB)
43.066406	-68.139091
86.132813	-68.353775
129.199219	-65.594940
172.265625	-60.900879
215.332031	-63.194012
258.398438	-69.116676
301.464844	-69.299370
344.531250	-66.774544
387.597656	-66.635994
430.664063	-69.542458
473.730469	-67.623917
516.796875	-64.229004
559.863281	-63.940948
602.929688	-65.367798
645.996094	-64.616386
689.062500	-60.993034
732.128906	-56.235931
775.195313	-55.986446
818.261719	-57.224495
861.328125	-55.918732
904.394531	-53.515343
947.460938	-50.807026
990.527344	-47.599602
1033.593750	-44.233334
1076.660156	-44.021904
1119.726563	-44.057899
1162.792969	-44.504211
1205.859375	-39.705517
1248.925781	-28.172684
1291.992188	-26.225132
1335.058594	-31.770847
1378.125000	-38.337849
1421.191406	-38.949825
1464.257813	-39.545727
1507.324219	-41.695286
1550.390625	-43.164860
1593.457031	-42.072975
1636.523438	-41.360779
1679.589844	-36.768948
1722.656250	-33.423676
1765.722656	-34.514767
1808.789063	-33.679642
1851.855469	-32.078804
1894.921875	-32.046566
1937.988281	-34.015415
1981.054688	-35.139645
2024.121094	-34.203358
2067.187500	-32.335163
2110.253906	-30.404434
2153.320313	-30.454075
2196.386719	-30.001652
2239.453125	-30.390638
2282.519531	-32.389011
2325.585938	-28.871771
2368.652344	-25.061903
2411.718750	-21.725931
2454.785156	-19.676405
2497.851563	-15.027428
2540.917969	-10.546946
2583.984375	-9.951657
2627.050781	-12.802250
2670.117188	-21.603521
2713.183594	-24.807167
2756.250000	-24.029554
2799.316406	-24.968298
2842.382813	-29.563128
2885.449219	-33.075211
2928.515625	-31.137205
2971.582031	-30.693974
3014.648438	-33.561726
3057.714844	-36.669743
3100.781250	-37.490814
3143.847656	-37.172718
3186.914063	-37.588264
3229.980469	-39.356853
3273.046875	-39.298283
3316.113281	-39.456860
3359.179688	-40.745991
3402.246094	-42.189270
3445.312500	-41.760410
3488.378906	-40.630253
3531.445313	-41.167049
3574.511719	-43.718479
3617.578125	-44.636276
3660.644531	-43.055252
3703.710938	-39.596645
3746.777344	-36.613174
3789.843750	-32.303642
3832.910156	-33.549759
3875.976563	-38.216587
3919.042969	-40.698265
3962.109375	-44.732273
4005.175781	-44.695702
4048.242188	-44.111401
4091.308594	-43.850529
4134.375000	-44.230644
4177.441406	-44.779526
4220.507813	-45.584724
4263.574219	-45.062508
4306.640625	-46.413925
4349.707031	-46.883331
4392.773438	-47.157482
4435.839844	-46.448811
4478.906250	-47.546646
4521.972656	-47.409386
4565.039063	-46.649689
4608.105469	-45.308800
4651.171875	-44.293331
4694.238281	-42.094452
4737.304688	-41.226555
4780.371094	-40.097691
4823.437500	-40.165813
4866.503906	-39.497803
4909.570313	-37.609856
4952.636719	-34.884094
4995.703125	-32.524559
5038.769531	-31.842203
5081.835938	-31.147251
5124.902344	-31.110662
5167.968750	-31.294865
5211.035156	-32.376198
5254.101563	-35.425671
5297.167969	-38.064476
5340.234375	-37.668285
5383.300781	-36.646965
5426.367188	-37.453945
