주파수 (Hz)	레벨 (dB)
43.066406	-60.864941
86.132813	-60.795818
129.199219	-57.577820
172.265625	-54.730831
215.332031	-53.888958
258.398438	-53.704136
301.464844	-50.528938
344.531250	-47.595646
387.597656	-40.177490
430.664063	-35.153709
473.730469	-36.637928
516.796875	-41.405087
559.863281	-40.595268
602.929688	-39.933506
645.996094	-39.183174
689.062500	-37.469841
732.128906	-38.232281
775.195313	-36.691097
818.261719	-33.060188
861.328125	-29.486526
904.394531	-30.069714
947.460938	-30.980093
990.527344	-30.471180
1033.593750	-31.157711
1076.660156	-28.371059
1119.726563	-23.461142
1162.792969	-18.473961
1205.859375	-19.068880
1248.925781	-19.491325
1291.992188	-18.403364
1335.058594	-18.407572
1378.125000	-18.027258
1421.191406	-18.991240
1464.257813	-21.215874
1507.324219	-24.382124
1550.390625	-24.397274
1593.457031	-23.588100
1636.523438	-24.809286
1679.589844	-23.453999
1722.656250	-20.342163
1765.722656	-20.670534
1808.789063	-22.626678
1851.855469	-23.345131
1894.921875	-25.273746
1937.988281	-25.959587
1981.054688	-26.476936
2024.121094	-28.029301
2067.187500	-26.829203
2110.253906	-25.069536
2153.320313	-23.808805
2196.386719	-23.529957
2239.453125	-23.771439
2282.519531	-24.766354
2325.585938	-23.538233
2368.652344	-22.518375
2411.718750	-24.576508
2454.785156	-26.480673
2497.851563	-26.899668
2540.917969	-24.999706
2583.984375	-23.458775
2627.050781	-24.335154
2670.117188	-27.005047
2713.183594	-26.479736
2756.250000	-26.050579
2799.316406	-27.424988
2842.382813	-29.494560
2885.449219	-28.891884
2928.515625	-28.708483
2971.582031	-28.488667
3014.648438	-28.158018
3057.714844	-27.696379
3100.781250	-28.191942
3143.847656	-28.602167
3186.914063	-29.400747
3229.980469	-31.114712
3273.046875	-32.440197
3316.113281	-31.399866
3359.179688	-30.618315
3402.246094	-28.179022
3445.312500	-26.446386
3488.378906	-24.669048
3531.445313	-25.912037
3574.511719	-27.628103
3617.578125	-27.848042
3660.644531	-29.463013
3703.710938	-30.498470
3746.777344	-31.767923
3789.843750	-32.750015
3832.910156	-32.427933
3875.976563	-33.303818
3919.042969	-33.501312
3962.109375	-34.560524
4005.175781	-37.276344
4048.242188	-38.241970
4091.308594	-38.638020
4134.375000	-39.040062
4177.441406	-39.214233
4220.507813	-39.625187
4263.574219	-39.215611
4306.640625	-39.102386
4349.707031	-39.159248
4392.773438	-41.447453
4435.839844	-43.037964
4478.906250	-43.910973
4521.972656	-44.317619
4565.039063	-44.864235
4608.105469	-43.954258
4651.171875	-42.229179
4694.238281	-42.838654
4737.304688	-43.496834
4780.371094	-43.525696
4823.437500	-43.527039
4866.503906	-45.727112
4909.570313	-47.711143
4952.636719	-47.645508
4995.703125	-48.176548
5038.769531	-47.477848
5081.835938	-46.190861
5124.902344	-45.157166
5167.968750	-45.146988
5211.035156	-42.853836
5254.101563	-41.766029
5297.167969	-44.450153
5340.234375	-45.883636
5383.300781	-44.492950
5426.367188	-44.072689
5469.433594	-43.468468
5512.500000	-41.840721
5555.566406	-41.206463
5598.632813	-42.859520
5641.699219	-43.409973
5684.765625	-42.708511
5727.832031	-43.837433
5770.898438	-46.456856
5813.964844	-46.343697
5857.031250	-45.811371
5900.097656	-45.035549
5943.164063	-44.875851
5986.230469	-43.652328
6029.296875	-43.125698
6072.363281	-42.677460
6115.429688	-42.478943
6158.496094	-44.017536
6201.562500	-45.102577
6244.628906	-45.114979
6287.695313	-45.031082
6330.761719	-44.803608
6373.828125	-45.261578
6416.894531	-45.845573
6459.960938	-46.969097
6503.027344	-47.045975
6546.093750	-45.742256
6589.160156	-46.117615
6632.226563	-47.528622
6675.292969	-47.955776
6718.359375	-48.137005
6761.425781	-48.321930
6804.492188	-48.704185
6847.558594	-48.968380
6890.625000	-49.235115
6933.691406	-48.636684
6976.757813	-48.637409
7019.824219	-49.433819
7062.890625	-50.189941
7105.957031	-49.943432
7149.023438	-49.881355
7192.089844	-49.810520
7235.156250	-50.250847
7278.222656	-50.699230
7321.289063	-51.537399
7364.355469	-51.312477
7407.421875	-50.079857
7450.488281	-49.204491
7493.554688	-49.611237
7536.621094	-50.191471
