주파수 (Hz)	레벨 (dB)
43.066406	-37.414902
86.132813	-40.656532
129.199219	-30.057615
172.265625	-23.138453
215.332031	-16.929817
258.398438	-12.605189
301.464844	-12.870526
344.531250	-16.831947
387.597656	-23.949818
430.664063	-24.368919
473.730469	-22.018368
516.796875	-25.057198
559.863281	-29.049244
602.929688	-29.205208
645.996094	-24.415609
689.062500	-21.375715
732.128906	-23.978477
775.195313	-26.877546
818.261719	-29.105146
861.328125	-31.312387
904.394531	-31.026249
947.460938	-32.146664
990.527344	-34.167480
1033.593750	-35.006046
1076.660156	-36.659073
1119.726563	-36.443085
1162.792969	-36.176338
1205.859375	-38.728699
1248.925781	-38.539257
1291.992188	-37.832500
1335.058594	-38.193542
1378.125000	-39.398228
1421.191406	-40.762516
1464.257813	-40.622314
1507.324219	-39.893326
1550.390625	-38.660007
1593.457031	-38.491940
1636.523438	-38.609570
1679.589844	-37.121384
1722.656250	-36.586575
1765.722656	-38.115864
1808.789063	-38.225147
1851.855469	-37.266552
1894.921875	-37.302876
1937.988281	-36.526241
1981.054688	-35.312057
2024.121094	-34.110336
2067.187500	-33.883087
2110.253906	-34.775558
2153.320313	-34.243061
2196.386719	-33.650635
2239.453125	-34.829983
2282.519531	-35.092121
2325.585938	-36.527603
2368.652344	-36.443459
2411.718750	-36.219982
2454.785156	-38.227222
2497.851563	-38.800934
2540.917969	-38.878857
2583.984375	-36.209492
2627.050781	-35.943207
2670.117188	-36.389545
2713.183594	-36.739128
2756.250000	-37.680592
2799.316406	-37.934895
2842.382813	-36.396481
2885.449219	-35.961109
2928.515625	-37.045135
2971.582031	-38.071194
3014.648438	-38.898121
3057.714844	-39.685852
3100.781250	-40.017868
3143.847656	-40.776649
3186.914063	-41.070683
3229.980469	-40.872337
3273.046875	-41.559883
3316.113281	-42.493011
3359.179688	-42.282280
3402.246094	-44.004982
3445.312500	-45.670170
3488.378906	-47.184193
3531.445313	-48.454498
3574.511719	-47.649036
3617.578125	-46.237720
3660.644531	-44.686028
3703.710938	-43.279282
3746.777344	-42.866039
3789.843750	-43.158966
3832.910156	-43.153008
3875.976563	-42.393848
3919.042969	-42.222473
3962.109375	-40.113380
4005.175781	-39.293541
4048.242188	-39.868927
4091.308594	-40.876106
4134.375000	-40.158764
4177.441406	-40.227123
4220.507813	-39.605778
4263.574219	-39.593197
4306.640625	-40.119152
4349.707031	-39.669525
4392.773438	-40.239422
4435.839844	-42.102150
4478.906250	-42.514702
4521.972656	-43.858025
4565.039063	-44.285866
4608.105469	-46.096733
4651.171875	-46.116920
4694.238281	-45.358379
4737.304688	-45.266682
4780.371094	-45.820496
4823.437500	-46.967091
4866.503906	-46.100452
4909.570313	-43.812004
4952.636719	-44.609303
4995.703125	-46.036701
5038.769531	-46.222137
5081.835938	-44.585941
5124.902344	-44.999405
5167.968750	-48.375679
5211.035156	-47.290710
5254.101563	-50.125305
5297.167969	-52.987988
5340.234375	-52.485065
5383.300781	-50.259258
5426.367188	-48.653419
5469.433594	-50.447777
5512.500000	-48.725906
5555.566406	-50.240009
5598.632813	-47.666672
5641.699219	-45.845100
5684.765625	-45.902172
5727.832031	-46.168961
5770.898438	-45.640472
5813.964844	-45.353741
