주파수 (Hz)	레벨 (dB)
43.066406	-35.486954
86.132813	-40.861122
129.199219	-28.732908
172.265625	-20.391273
215.332031	-16.250576
258.398438	-12.328641
301.464844	-13.089297
344.531250	-16.420841
387.597656	-22.782103
430.664063	-23.344982
473.730469	-24.725502
516.796875	-27.737387
559.863281	-29.569445
602.929688	-26.850395
645.996094	-24.297510
689.062500	-26.525288
732.128906	-28.647329
775.195313	-28.328400
818.261719	-29.024794
861.328125	-29.626049
904.394531	-29.342625
947.460938	-29.845720
990.527344	-35.206272
1033.593750	-37.767281
1076.660156	-38.452053
1119.726563	-38.555225
1162.792969	-37.107758
1205.859375	-39.222084
1248.925781	-41.904598
1291.992188	-42.301075
1335.058594	-42.854305
1378.125000	-40.421684
1421.191406	-41.110603
1464.257813	-41.364422
1507.324219	-38.752457
1550.390625	-38.053894
1593.457031	-39.049732
1636.523438	-40.753567
1679.589844	-39.640213
1722.656250	-39.191982
1765.722656	-40.992809
1808.789063	-43.288433
1851.855469	-42.125072
1894.921875	-40.820354
1937.988281	-41.316074
1981.054688	-40.048664
2024.121094	-38.179966
2067.187500	-39.480244
2110.253906	-41.680382
2153.320313	-43.103561
2196.386719	-41.910931
2239.453125	-40.535236
2282.519531	-39.902115
2325.585938	-40.490566
2368.652344	-37.884850
2411.718750	-36.493477
2454.785156	-37.133633
2497.851563	-36.754589
2540.917969	-36.967728
2583.984375	-34.544163
2627.050781	-34.448833
2670.117188	-36.532990
2713.183594	-36.724102
2756.250000	-36.612465
2799.316406	-38.549286
2842.382813	-40.206223
2885.449219	-39.584015
2928.515625	-39.857285
2971.582031	-40.974014
3014.648438	-41.916492
3057.714844	-40.410728
3100.781250	-40.171856
3143.847656	-41.553806
3186.914063	-41.787983
3229.980469	-40.140202
3273.046875	-39.767494
3316.113281	-41.055595
3359.179688	-42.032787
3402.246094	-42.463409
3445.312500	-42.151268
3488.378906	-43.784512
3531.445313	-43.968060
3574.511719	-43.667377
3617.578125	-43.967113
3660.644531	-43.896702
3703.710938	-43.899467
3746.777344	-44.575825
3789.843750	-45.006054
3832.910156	-44.704601
3875.976563	-45.020615
3919.042969	-44.177128
3962.109375	-43.674965
4005.175781	-43.043564
4048.242188	-43.411991
4091.308594	-42.491737
4134.375000	-41.172665
4177.441406	-41.250412
4220.507813	-40.435196
4263.574219	-41.240295
4306.640625	-41.376099
4349.707031	-40.608810
4392.773438	-40.190437
4435.839844	-40.224667
4478.906250	-41.269489
4521.972656	-41.678436
4565.039063	-42.797863
4608.105469	-44.708305
4651.171875	-46.469055
4694.238281	-46.492039
4737.304688	-46.593296
4780.371094	-46.196575
4823.437500	-44.573082
4866.503906	-41.917484
4909.570313	-41.602524
4952.636719	-44.266537
4995.703125	-46.450577
5038.769531	-46.109337
5081.835938	-45.160889
5124.902344	-44.800350
5167.968750	-45.784584
5211.035156	-46.734131
5254.101563	-45.849907
5297.167969	-47.461903
5340.234375	-45.977364
5383.300781	-45.434498
5426.367188	-48.097324
5469.433594	-48.112015
5512.500000	-46.246861
5555.566406	-44.866421
5598.632813	-47.603642
5641.699219	-45.314072
5684.765625	-43.804558
5727.832031	-45.142815
5770.898438	-45.252033
5813.964844	-41.654228
5857.031250	-39.652122
5900.097656	-43.740986
5943.164063	-42.861668
5986.230469	-41.728951
6029.296875	-43.387463
6072.363281	-43.953018
6115.429688	-45.279415
6158.496094	-48.108994
6201.562500	-46.732723
6244.628906	-43.370426
6287.695313	-44.359840
6330.761719	-46.002705
6373.828125	-43.007389
6416.894531	-42.900814
6459.960938	-44.688313
6503.027344	-43.387852
6546.093750	-43.722874
6589.160156	-42.267433
6632.226563	-43.053635
6675.292969	-44.023136
6718.359375	-46.607327
6761.425781	-47.237370
6804.492188	-46.221874
6847.558594	-47.929176
6890.625000	-49.628838
6933.691406	-46.496403
6976.757813	-45.166168
7019.824219	-44.584206
7062.890625	-44.217525
7105.957031	-45.736885
7149.023438	-47.381710
7192.089844	-47.591663
7235.156250	-46.264359
7278.222656	-45.919216
7321.289063	-46.862377
7364.355469	-46.377865
7407.421875	-45.708889
7450.488281	-44.256458
7493.554688	-44.413212
7536.621094	-44.587517
7579.687500	-44.780819
7622.753906	-45.526928
7665.820313	-46.352165
7708.886719	-46.330650
7751.953125	-46.555130
7795.019531	-46.603298
7838.085938	-45.246922
7881.152344	-44.841606
7924.218750	-43.761597
7967.285156	-42.281780
8010.351563	-43.479942
8053.417969	-45.524033
8096.484375	-45.603130
8139.550781	-45.904671
8182.617188	-45.921429
8225.683594	-45.936676
8268.750000	-46.143841
8311.816406	-45.835705
8354.882813	-45.463127
8397.949219	-45.383209
8441.015625	-45.937862
8484.082031	-47.486462
8527.148438	-47.991676
8570.214844	-48.355064
8613.281250	-49.463444
8656.347656	-49.747780
8699.414063	-49.398113
8742.480469	-49.440525
8785.546875	-49.761353
8828.613281	-49.179607
8871.679688	-48.238110
8914.746094	-48.833797
8957.812500	-49.125767
9000.878906	-50.395763
9043.945313	-51.013786
9087.011719	-49.966663
9130.078125	-49.223644
9173.144531	-48.524628
9216.210938	-47.564320
9259.277344	-49.111595
9302.343750	-50.279202
9345.410156	-50.378059
9388.476563	-50.446171
9431.542969	-49.645905
9474.609375	-49.208115
9517.675781	-49.832886
9560.742188	-50.150627
9603.808594	-50.402237
9646.875000	-49.975311
9689.941406	-49.062992
9733.007813	-49.714336
9776.074219	-50.768375
9819.140625	-50.128036
9862.207031	-50.454815
9905.273438	-50.150288
9948.339844	-50.554680
9991.406250	-52.176582
10034.472656	-51.844334
10077.539063	-51.797764
10120.605469	-51.926086
10163.671875	-52.887627
10206.738281	-55.166878
10249.804688	-54.425667
10292.871094	-52.474483
10335.937500	-52.738380
10379.003906	-53.449036
10422.070313	-54.148792
10465.136719	-53.695164
10508.203125	-53.600189
10551.269531	-52.404228
10594.335938	-52.981350
10637.402344	-53.249249
10680.468750	-54.184116
10723.535156	-53.789227
10766.601563	-53.212109
10809.667969	-53.670959
10852.734375	-54.130184
10895.800781	-53.257843
10938.867188	-53.565464
10981.933594	-56.026344
11025.000000	-56.488457
11068.066406	-54.899467
11111.132813	-54.778931
11154.199219	-55.181133
11197.265625	-53.172878
