주파수 (Hz)	레벨 (dB)
43.066406	-31.242031
86.132813	-37.473671
129.199219	-39.059921
172.265625	-38.729977
215.332031	-39.661755
258.398438	-39.728447
301.464844	-40.013416
344.531250	-41.036049
387.597656	-43.369926
430.664063	-45.609474
473.730469	-44.157860
516.796875	-42.882462
559.863281	-42.205502
602.929688	-40.414406
645.996094	-36.220032
689.062500	-33.546631
732.128906	-28.391466
775.195313	-23.720001
818.261719	-23.268681
861.328125	-23.614719
904.394531	-24.050501
947.460938	-23.512705
990.527344	-22.406355
1033.593750	-21.516441
1076.660156	-20.337496
1119.726563	-20.623449
1162.792969	-21.872168
1205.859375	-20.719751
1248.925781	-18.207907
1291.992188	-18.552933
1335.058594	-19.605419
1378.125000	-18.175098
1421.191406	-16.358574
1464.257813	-12.286169
1507.324219	-7.493842
1550.390625	-5.133698
1593.457031	-6.336306
1636.523438	-13.935520
1679.589844	-19.939093
1722.656250	-21.418859
1765.722656	-23.579870
1808.789063	-24.867212
1851.855469	-25.698683
1894.921875	-26.149544
1937.988281	-28.969629
1981.054688	-32.321106
2024.121094	-34.883068
2067.187500	-37.010178
2110.253906	-40.011650
2153.320313	-40.730728
2196.386719	-41.425102
2239.453125	-42.597897
2282.519531	-41.963470
2325.585938	-41.739552
2368.652344	-41.617958
2411.718750	-42.452251
2454.785156	-42.065514
2497.851563	-41.034679
2540.917969	-39.878635
2583.984375	-39.474171
2627.050781	-36.980534
2670.117188	-34.097919
2713.183594	-33.222828
2756.250000	-30.908945
2799.316406	-30.548595
2842.382813	-28.929245
2885.449219	-27.195530
2928.515625	-25.327328
2971.582031	-23.795004
3014.648438	-18.351667
3057.714844	-10.786674
3100.781250	-10.217780
3143.847656	-11.136797
3186.914063	-16.751604
3229.980469	-24.650370
3273.046875	-27.199955
3316.113281	-28.639723
3359.179688	-31.614790
3402.246094	-33.147514
3445.312500	-32.543289
3488.378906	-33.673851
3531.445313	-36.384308
3574.511719	-38.437477
3617.578125	-40.194973
3660.644531	-41.007824
3703.710938	-42.595833
3746.777344	-43.879719
3789.843750	-41.960449
3832.910156	-42.677807
3875.976563	-44.840939
3919.042969	-46.888222
3962.109375	-47.876431
4005.175781	-47.374763
4048.242188	-46.658684
4091.308594	-46.350723
4134.375000	-45.637218
4177.441406	-45.744957
4220.507813	-42.909760
4263.574219	-42.813271
4306.640625	-40.476471
4349.707031	-39.047825
4392.773438	-36.142941
4435.839844	-33.900974
4478.906250	-30.999769
4521.972656	-29.186663
4565.039063	-29.117641
4608.105469	-28.283215
4651.171875	-28.154848
4694.238281	-26.939140
4737.304688	-27.185041
4780.371094	-29.230961
4823.437500	-33.338417
4866.503906	-36.587265
4909.570313	-37.453381
4952.636719	-39.684551
4995.703125	-41.100639
5038.769531	-41.724419
5081.835938	-42.610798
5124.902344	-43.371609
5167.968750	-43.351212
5211.035156	-44.563427
5254.101563	-44.475727
5297.167969	-43.453430
5340.234375	-42.712395
5383.300781	-42.911175
5426.367188	-44.838551
5469.433594	-44.602123
5512.500000	-44.897774
5555.566406	-46.294296
5598.632813	-45.599567
5641.699219	-44.895100
5684.765625	-44.062080
5727.832031	-42.813885
5770.898438	-43.453075
5813.964844	-43.197300
5857.031250	-41.989254
5900.097656	-38.939888
5943.164063	-37.460487
5986.230469	-35.539497
6029.296875	-34.183369
6072.363281	-33.754272
6115.429688	-29.905121
6158.496094	-28.184338
6201.562500	-30.322926
6244.628906	-33.225132
6287.695313	-32.356323
6330.761719	-33.375797
6373.828125	-35.084625
6416.894531	-35.123878
6459.960938	-37.210842
6503.027344	-39.450111
6546.093750	-41.336178
6589.160156	-42.877975
6632.226563	-42.824760
6675.292969	-43.150253
6718.359375	-43.649620
6761.425781	-44.231174
6804.492188	-45.411880
6847.558594	-46.743813
6890.625000	-47.968109
6933.691406	-47.464066
6976.757813	-46.564186
7019.824219	-47.075348
7062.890625	-47.433891
7105.957031	-48.578522
7149.023438	-48.448658
7192.089844	-48.291901
7235.156250	-49.117512
7278.222656	-48.653709
7321.289063	-48.118088
7364.355469	-48.207359
7407.421875	-48.285973
7450.488281	-46.779800
7493.554688	-44.995811
7536.621094	-44.305534
7579.687500	-43.507011
7622.753906	-41.447811
7665.820313	-41.707458
7708.886719	-41.679115
7751.953125	-41.149296
7795.019531	-41.496796
7838.085938	-39.653568
7881.152344	-38.825535
7924.218750	-40.477833
7967.285156	-41.789593
8010.351563	-42.115360
8053.417969	-44.724262
8096.484375	-47.375542
8139.550781	-48.883896
8182.617188	-49.815536
8225.683594	-50.036930
8268.750000	-50.553593
8311.816406	-51.067970
8354.882813	-51.799725
8397.949219	-50.886795
8441.015625	-50.902218
8484.082031	-52.472279
8527.148438	-52.885895
8570.214844	-52.093479
8613.281250	-51.962532
8656.347656	-51.202152
8699.414063	-49.506325
8742.480469	-49.656124
8785.546875	-50.349785
8828.613281	-49.818111
8871.679688	-49.114674
8914.746094	-48.731007
8957.812500	-47.963375
9000.878906	-46.452095
9043.945313	-46.420879
9087.011719	-46.213734
9130.078125	-44.722733
9173.144531	-41.729725
9216.210938	-41.423412
9259.277344	-43.168251
9302.343750	-45.023373
9345.410156	-47.883423
9388.476563	-45.678425
9431.542969	-43.722260
9474.609375	-43.713863
9517.675781	-45.784264
9560.742188	-46.180916
9603.808594	-47.233681
9646.875000	-49.699226
9689.941406	-50.430592
9733.007813	-51.462463
9776.074219	-53.442902
9819.140625	-54.237099
9862.207031	-54.039780
9905.273438	-54.026138
9948.339844	-54.057987
9991.406250	-53.965622
10034.472656	-53.858353
10077.539063	-54.026863
10120.605469	-55.063461
10163.671875	-55.030457
10206.738281	-55.444576
10249.804688	-56.122524
10292.871094	-56.326908
10335.937500	-56.356602
10379.003906	-55.883663
10422.070313	-55.924023
10465.136719	-56.451797
10508.203125	-54.891937
10551.269531	-54.994583
10594.335938	-53.875332
10637.402344	-52.854191
10680.468750	-51.715984
10723.535156	-51.244148
10766.601563	-51.594662
10809.667969	-50.650700
10852.734375	-50.295567
10895.800781	-50.876480
10938.867188	-49.614918
10981.933594	-48.188301
11025.000000	-47.379368
11068.066406	-48.360748
11111.132813	-50.601624
11154.199219	-50.795341
11197.265625	-51.422646
11240.332031	-51.607292
11283.398438	-52.727116
11326.464844	-54.912174
11369.531250	-54.278946
11412.597656	-54.242725
11455.664063	-54.340378
11498.730469	-53.777554
11541.796875	-54.717594
11584.863281	-55.581722
11627.929688	-54.857746
11670.996094	-54.344086
11714.062500	-54.204933
11757.128906	-54.041157
11800.195313	-54.482784
11843.261719	-54.599205
11886.328125	-54.296658
11929.394531	-54.430107
11972.460938	-55.432167
12015.527344	-56.784824
12058.593750	-56.182926
12101.660156	-55.424179
12144.726563	-55.476665
12187.792969	-54.973701
12230.859375	-54.638077
12273.925781	-53.379974
12316.992188	-53.296040
12360.058594	-53.247555
12403.125000	-54.490902
12446.191406	-55.232292
12489.257813	-53.609894
12532.324219	-52.977478
12575.390625	-53.102375
12618.457031	-53.490356
12661.523438	-54.132069
12704.589844	-54.555714
12747.656250	-54.717468
12790.722656	-55.320282
12833.789063	-56.411770
12876.855469	-56.522274
12919.921875	-57.147854
12962.988281	-58.121387
13006.054688	-58.414955
13049.121094	-58.012985
13092.187500	-58.059746
13135.253906	-58.830116
13178.320313	-59.928539
13221.386719	-61.233639
13264.453125	-61.516884
13307.519531	-61.007618
13350.585938	-60.545509
13393.652344	-61.254677
13436.718750	-61.716343
13479.785156	-61.447132
13522.851563	-61.102940
13565.917969	-61.442741
13608.984375	-61.256828
13652.050781	-61.101307
13695.117188	-62.038536
13738.183594	-60.917282
13781.250000	-61.881611
13824.316406	-62.931217
13867.382813	-61.782143
13910.449219	-60.445522
13953.515625	-60.370605
13996.582031	-61.224918
14039.648438	-61.669086
14082.714844	-60.943470
14125.781250	-60.678364
14168.847656	-60.286564
14211.914063	-60.546185
14254.980469	-61.343262
14298.046875	-61.132896
14341.113281	-61.564350
14384.179688	-62.187191
14427.246094	-63.686111
14470.312500	-64.697495
14513.378906	-64.442535
14556.445313	-64.388580
14599.511719	-64.021622
14642.578125	-63.881168
14685.644531	-64.282585
14728.710938	-64.188553
14771.777344	-63.175030
14814.843750	-62.481998
14857.910156	-62.169781
14900.976563	-62.479042
14944.042969	-62.328388
14987.109375	-62.293934
15030.175781	-62.077740
15073.242188	-63.223949
15116.308594	-63.121128
15159.375000	-62.225410
15202.441406	-63.090153
15245.507813	-63.276318
15288.574219	-63.234280
15331.640625	-62.982071
15374.707031	-63.484581
