주파수 (Hz)	레벨 (dB)
43.066406	-26.593683
86.132813	-19.897629
129.199219	-16.161440
172.265625	-17.075672
215.332031	-23.661032
258.398438	-26.271681
301.464844	-26.210987
344.531250	-25.501053
387.597656	-23.500774
430.664063	-23.690851
473.730469	-27.299726
516.796875	-29.777626
559.863281	-29.879990
602.929688	-30.817091
645.996094	-32.001175
689.062500	-32.010750
732.128906	-32.838112
775.195313	-33.494740
818.261719	-34.722881
861.328125	-33.869114
904.394531	-32.232445
947.460938	-31.891760
990.527344	-33.358200
1033.593750	-34.660652
1076.660156	-34.196510
1119.726563	-33.148998
1162.792969	-31.093153
1205.859375	-27.491930
1248.925781	-27.114784
1291.992188	-28.064734
1335.058594	-29.437365
1378.125000	-28.463060
1421.191406	-27.436443
1464.257813	-27.477726
1507.324219	-27.911200
1550.390625	-29.734484
1593.457031	-29.950607
1636.523438	-30.103970
1679.589844	-31.215906
1722.656250	-27.396441
1765.722656	-24.304213
1808.789063	-23.539276
1851.855469	-23.510862
1894.921875	-25.107252
1937.988281	-25.043428
1981.054688	-24.202017
2024.121094	-22.193956
2067.187500	-20.241039
2110.253906	-19.951286
2153.320313	-19.625156
2196.386719	-20.727411
2239.453125	-22.521664
2282.519531	-22.724560
2325.585938	-21.481310
2368.652344	-23.089312
2411.718750	-21.943264
2454.785156	-18.914516
2497.851563	-16.312529
2540.917969	-14.666477
2583.984375	-12.111587
2627.050781	-9.961004
2670.117188	-7.784611
2713.183594	-7.266072
2756.250000	-7.700230
2799.316406	-6.956222
2842.382813	-5.663068
2885.449219	-6.852289
2928.515625	-9.369164
2971.582031	-12.135075
3014.648438	-15.819757
3057.714844	-18.637331
3100.781250	-21.830179
3143.847656	-24.147020
3186.914063	-24.772594
3229.980469	-26.203003
3273.046875	-27.028444
3316.113281	-29.302553
3359.179688	-30.210764
3402.246094	-30.625254
3445.312500	-32.400280
3488.378906	-32.483025
3531.445313	-32.722553
3574.511719	-31.637144
3617.578125	-30.144007
3660.644531	-30.150452
3703.710938	-31.242012
3746.777344	-32.476360
3789.843750	-33.579956
3832.910156	-33.713024
3875.976563	-34.958717
3919.042969	-34.377384
3962.109375	-33.959759
4005.175781	-32.076900
4048.242188	-31.192617
4091.308594	-31.625246
4134.375000	-31.057869
4177.441406	-31.466246
4220.507813	-33.075241
4263.574219	-34.478184
4306.640625	-34.113895
4349.707031	-33.492863
4392.773438	-33.081165
4435.839844	-32.493252
4478.906250	-32.581062
4521.972656	-33.542961
4565.039063	-33.136635
4608.105469	-33.544716
4651.171875	-33.132339
4694.238281	-33.121456
4737.304688	-34.361423
4780.371094	-33.657658
4823.437500	-33.431740
4866.503906	-31.591045
4909.570313	-31.789200
4952.636719	-31.419119
4995.703125	-29.839968
5038.769531	-30.766586
5081.835938	-30.636610
5124.902344	-30.209805
5167.968750	-29.321266
5211.035156	-29.499332
5254.101563	-28.192017
5297.167969	-27.106501
5340.234375	-25.943832
5383.300781	-25.718458
5426.367188	-25.456461
5469.433594	-26.037436
5512.500000	-26.497828
5555.566406	-26.595615
5598.632813	-25.600727
5641.699219	-23.349392
5684.765625	-23.559700
5727.832031	-24.650589
5770.898438	-25.073635
5813.964844	-24.922384
5857.031250	-26.440388
5900.097656	-27.710926
5943.164063	-29.468515
5986.230469	-30.769053
6029.296875	-31.495386
6072.363281	-32.499187
6115.429688	-35.076767
6158.496094	-35.959469
6201.562500	-36.865208
6244.628906	-37.887489
6287.695313	-37.646755
6330.761719	-38.171150
6373.828125	-38.492519
6416.894531	-39.495480
6459.960938	-40.715733
6503.027344	-41.463554
6546.093750	-41.757465
6589.160156	-41.154636
6632.226563	-41.081768
6675.292969	-41.660702
6718.359375	-41.420128
6761.425781	-42.779957
6804.492188	-42.727062
6847.558594	-43.830925
6890.625000	-42.917984
6933.691406	-43.411236
6976.757813	-44.282993
7019.824219	-43.348480
7062.890625	-41.914944
7105.957031	-42.097420
7149.023438	-43.304714
7192.089844	-44.093586
7235.156250	-43.202396
7278.222656	-43.255066
7321.289063	-43.817650
7364.355469	-44.030830
7407.421875	-43.096172
7450.488281	-42.743980
7493.554688	-42.240967
7536.621094	-41.539654
7579.687500	-41.167236
7622.753906	-39.975006
7665.820313	-39.382256
7708.886719	-38.935699
7751.953125	-38.242504
7795.019531	-36.889740
7838.085938	-36.323032
7881.152344	-35.856533
7924.218750	-36.066257
7967.285156	-36.198124
8010.351563	-35.434139
8053.417969	-35.422600
8096.484375	-34.773533
8139.550781	-33.779400
8182.617188	-33.557434
8225.683594	-33.444489
8268.750000	-34.087128
8311.816406	-33.999153
8354.882813	-33.475559
8397.949219	-34.532372
8441.015625	-34.083912
8484.082031	-34.116978
8527.148438	-35.684917
8570.214844	-36.660187
8613.281250	-37.450153
8656.347656	-38.484356
8699.414063	-40.155689
8742.480469	-39.878250
8785.546875	-39.086666
8828.613281	-40.428539
8871.679688	-41.539234
8914.746094	-40.431629
8957.812500	-41.516853
9000.878906	-41.238174
9043.945313	-42.035240
9087.011719	-43.483078
9130.078125	-43.878124
9173.144531	-44.063538
9216.210938	-44.303967
9259.277344	-45.212349
9302.343750	-44.907104
9345.410156	-47.456680
9388.476563	-49.806835
9431.542969	-49.531559
9474.609375	-46.982113
9517.675781	-46.420616
9560.742188	-47.455235
9603.808594	-48.402668
9646.875000	-50.655403
9689.941406	-51.408398
9733.007813	-51.604298
9776.074219	-50.088116
9819.140625	-49.993176
9862.207031	-50.382511
9905.273438	-51.643814
9948.339844	-51.344967
9991.406250	-52.180912
10034.472656	-53.872517
10077.539063	-52.427631
10120.605469	-50.807758
10163.671875	-50.504765
10206.738281	-51.112648
10249.804688	-51.510399
10292.871094	-49.968491
10335.937500	-49.852589
10379.003906	-49.637154
10422.070313	-49.142757
10465.136719	-46.676403
10508.203125	-46.577591
10551.269531	-47.731888
10594.335938	-46.993263
10637.402344	-46.210690
10680.468750	-46.433495
10723.535156	-45.748356
10766.601563	-44.869415
10809.667969	-44.493805
10852.734375	-44.567223
10895.800781	-45.937672
10938.867188	-47.679379
10981.933594	-46.435444
11025.000000	-45.717045
11068.066406	-45.324909
11111.132813	-46.376583
11154.199219	-46.140179
11197.265625	-46.147068
11240.332031	-45.579319
11283.398438	-43.804649
11326.464844	-43.065651
11369.531250	-45.076050
11412.597656	-44.973167
11455.664063	-45.593868
11498.730469	-47.380463
11541.796875	-48.074875
11584.863281	-48.667351
11627.929688	-48.957321
11670.996094	-47.294128
11714.062500	-46.990307
11757.128906	-48.963284
11800.195313	-50.406860
11843.261719	-49.019825
11886.328125	-50.470322
11929.394531	-51.399704
11972.460938	-51.409271
12015.527344	-50.574707
12058.593750	-50.379959
12101.660156	-51.973133
12144.726563	-55.709446
12187.792969	-55.220676
12230.859375	-52.362419
12273.925781	-54.703407
12316.992188	-64.415527
12360.058594	-68.506157
12403.125000	-69.295227
12446.191406	-68.100700
12489.257813	-66.907928
12532.324219	-68.346420
12575.390625	-69.101868
12618.457031	-68.309372
12661.523438	-70.057037
12704.589844	-71.020920
12747.656250	-70.492714
12790.722656	-70.167282
12833.789063	-67.431099
12876.855469	-67.010780
12919.921875	-67.912651
12962.988281	-69.187126
13006.054688	-69.570274
13049.121094	-68.220573
13092.187500	-67.010933
13135.253906	-65.958908
13178.320313	-65.669617
13221.386719	-65.889954
13264.453125	-65.698830
13307.519531	-64.464081
13350.585938	-63.487473
13393.652344	-64.075043
13436.718750	-64.538361
13479.785156	-63.366585
13522.851563	-63.625137
13565.917969	-64.694199
13608.984375	-65.916664
13652.050781	-62.652016
13695.117188	-62.757439
13738.183594	-63.553730
13781.250000	-63.913826
13824.316406	-63.424599
13867.382813	-64.877968
13910.449219	-64.946167
13953.515625	-63.312279
13996.582031	-62.802147
14039.648438	-60.730492
14082.714844	-60.218327
14125.781250	-61.426434
14168.847656	-62.471260
14211.914063	-63.242935
14254.980469	-63.680958
14298.046875	-64.921455
14341.113281	-65.579224
14384.179688	-65.331657
14427.246094	-65.041534
14470.312500	-66.075363
14513.378906	-66.309311
14556.445313	-64.704163
14599.511719	-64.692253
14642.578125	-64.886894
14685.644531	-65.828773
14728.710938	-65.148567
14771.777344	-64.815369
14814.843750	-66.367020
14857.910156	-66.564514
14900.976563	-65.386436
14944.042969	-67.484726
14987.109375	-70.213051
15030.175781	-71.626244
15073.242188	-71.387283
15116.308594	-71.973091
15159.375000	-70.557709
15202.441406	-71.835052
15245.507813	-70.592896
15288.574219	-71.220421
15331.640625	-71.084099
15374.707031	-70.920181
15417.773438	-71.653809
15460.839844	-72.252197
15503.906250	-71.310326
15546.972656	-71.096062
15590.039063	-71.336578
15633.105469	-71.204948
15676.171875	-71.339462
15719.238281	-71.319565
15762.304688	-71.593330
15805.371094	-71.324379
15848.437500	-72.394920
15891.503906	-71.229973
15934.570313	-70.105835
15977.636719	-70.898888
16020.703125	-71.200127
16063.769531	-70.538055
16106.835938	-70.528015
16149.902344	-71.319275
16192.968750	-72.119789
16236.035156	-71.261185
16279.101563	-70.749908
16322.167969	-70.200195
16365.234375	-70.154137
16408.300781	-69.864769
16451.367188	-69.962402
16494.433594	-69.813240
16537.500000	-70.469727
16580.566406	-71.116982
16623.632813	-70.383835
16666.699219	-70.086136
16709.765625	-69.872765
16752.832031	-70.075211
16795.898438	-70.439545
16838.964844	-70.395172
16882.031250	-70.327057
16925.097656	-70.343697
16968.164063	-70.637367
17011.230469	-71.157768
17054.296875	-71.350700
17097.363281	-71.041138
17140.429688	-71.351021
17183.496094	-71.088425
17226.562500	-71.059517
17269.628906	-71.825188
17312.695313	-71.758156
17355.761719	-71.166779
17398.828125	-71.231712
17441.894531	-71.744637
17484.960938	-71.411156
17528.027344	-71.546646
17571.093750	-72.007690
17614.160156	-72.579720
17657.226563	-72.203552
17700.292969	-71.493317
17743.359375	-71.571823
17786.425781	-71.231583
17829.492188	-71.835419
17872.558594	-72.828011
17915.625000	-73.064133
17958.691406	-72.270882
18001.757813	-71.852448
18044.824219	-71.596359
18087.890625	-72.093842
18130.957031	-71.640007
18174.023438	-72.079597
18217.089844	-72.264603
18260.156250	-71.960617
18303.222656	-72.408867
18346.289063	-72.460388
18389.355469	-72.032661
18432.421875	-72.199333
18475.488281	-71.777069
18518.554688	-72.390778
18561.621094	-72.028687
18604.687500	-72.501511
18647.753906	-72.604721
18690.820313	-72.475403
18733.886719	-72.075989
18776.953125	-72.781883
18820.019531	-72.665596
18863.085938	-72.065514
18906.152344	-71.256783
18949.218750	-71.128174
18992.285156	-71.186630
19035.351563	-71.154755
19078.417969	-71.931343
19121.484375	-72.900330
19164.550781	-71.898476
19207.617188	-72.352188
19250.683594	-71.639229
19293.750000	-71.274719
19336.816406	-71.599335
19379.882813	-72.036583
19422.949219	-71.005157
19466.015625	-71.066200
19509.082031	-71.170280
19552.148438	-71.958038
19595.214844	-71.912300
19638.281250	-71.490196
19681.347656	-71.375755
19724.414063	-71.792305
19767.480469	-71.830009
19810.546875	-72.049309
19853.613281	-72.945641
19896.679688	-71.917542
19939.746094	-71.920464
19982.812500	-72.473221
20025.878906	-72.251755
20068.945313	-72.285736
20112.011719	-72.791260
20155.078125	-72.861526
20198.144531	-72.240089
20241.210938	-72.389908
20284.277344	-71.783737
20327.343750	-72.085670
20370.410156	-72.529869
20413.476563	-72.648186
20456.542969	-72.959129
20499.609375	-72.907616
20542.675781	-72.264587
20585.742188	-72.839302
20628.808594	-72.747879
20671.875000	-72.092690
20714.941406	-72.595901
20758.007813	-71.788925
20801.074219	-71.640411
20844.140625	-73.205269
20887.207031	-71.864067
